Sweep Target,Sweep Value,Year,Cumulative Cash
R&D Multiplier,2.0,1,-11211986.40483383
R&D Multiplier,2.0,2,-7298972.809667663
R&D Multiplier,2.0,3,-3385959.2145014945
R&D Multiplier,2.0,4,6609040.785498505
R&D Multiplier,2.0,5,16604040.785498505
R&D Multiplier,2.0,6,26599040.785498507
R&D Multiplier,2.0,7,36594040.78549851
R&D Multiplier,2.0,8,46589040.78549851
R&D Multiplier,2.0,9,56584040.78549851
R&D Multiplier,2.0,10,66579040.78549851
Cert Multiplier,0.5,0,-7687500.0
Cert Multiplier,0.5,1,-783757.5528700873
Cert Multiplier,0.5,2,6119984.894259825
Cert Multiplier,0.5,3,13023727.341389738
Cert Multiplier,0.5,4,23018727.341389738
Cert Multiplier,0.5,5,33013727.341389738
Cert Multiplier,0.5,6,43008727.34138974
Cert Multiplier,0.5,7,53003727.34138974
Cert Multiplier,0.5,8,62998727.34138974
Cert Multiplier,0.5,9,72993727.34138975
Cert Multiplier,0.5,10,82988727.34138975
Cert Multiplier,0.6,0,-8475000.0
Cert Multiplier,0.6,1,-1887922.9607250728
Cert Multiplier,0.6,2,4699154.078549854
Cert Multiplier,0.6,3,11286231.117824782
Cert Multiplier,0.6,4,21281231.11782478
Cert Multiplier,0.6,5,31276231.11782478
Cert Multiplier,0.6,6,41271231.11782478
Cert Multiplier,0.6,7,51266231.11782478
Cert Multiplier,0.6,8,61261231.11782478
Cert Multiplier,0.6,9,71256231.11782478
Cert Multiplier,0.6,10,81251231.11782478
Cert Multiplier,0.7,0,-9262500.0
Cert Multiplier,0.7,1,-2992088.3685800573
Cert Multiplier,0.7,2,3278323.2628398854
Cert Multiplier,0.7,3,9548734.89425983
Cert Multiplier,0.7,4,19543734.89425983
Cert Multiplier,0.7,5,29538734.89425983
Cert Multiplier,0.7,6,39533734.894259825
Cert Multiplier,0.7,7,49528734.894259825
Cert Multiplier,0.7,8,59523734.894259825
Cert Multiplier,0.7,9,69518734.89425983
Cert Multiplier,0.7,10,79513734.89425983
Cert Multiplier,0.8,0,-10050000.0
Cert Multiplier,0.8,1,-4096253.776435042
Cert Multiplier,0.8,2,1857492.4471299164
Cert Multiplier,0.8,3,7811238.670694875
Cert Multiplier,0.8,4,17806238.670694873
Cert Multiplier,0.8,5,27801238.670694873
Cert Multiplier,0.8,6,37796238.67069487
Cert Multiplier,0.8,7,47791238.67069487
Cert Multiplier,0.8,8,57786238.67069487
Cert Multiplier,0.8,9,67781238.67069487
Cert Multiplier,0.8,10,77776238.67069487
Cert Multiplier,0.9,0,-10837500.0
